Year,date_progress,State,STATEFP,Progress
2017,23/10/2016,COLORADO,8,97
2017,23/10/2016,DELAWARE,10,37
2017,23/10/2016,GEORGIA,13,19
2017,23/10/2016,IDAHO,16,87
2017,23/10/2016,ILLINOIS,17,68
2017,23/10/2016,INDIANA,18,71
2017,23/10/2016,KANSAS,20,84
2017,23/10/2016,KENTUCKY,21,52
2017,23/10/2016,LOUISIANA,22,8
2017,23/10/2016,MARYLAND,24,55
2017,23/10/2016,MICHIGAN,26,73
2017,23/10/2016,MISSISSIPPI,28,17
2017,23/10/2016,MISSOURI,29,48
2017,23/10/2016,MONTANA,30,89
2017,23/10/2016,NEBRASKA,31,100
2017,23/10/2016,NEW YORK,36,93
2017,23/10/2016,NORTH CAROLINA,37,15
2017,23/10/2016,NORTH DAKOTA,38,94
2017,23/10/2016,OHIO,39,85
2017,23/10/2016,OKLAHOMA,40,83
2017,23/10/2016,OREGON,41,83
2017,23/10/2016,PENNSYLVANIA,42,85
